GROW ID,社員番号,氏名,所属部門,役職,性別,職種,年齢
F10000042,1001,sample42,マーケティング,部長,男性,営業,58
F10000030,1002,sample20,開発,部長,女性,営業,52
F10000011,1003,sample4,マーケティング,部長,男性,営業,20
F10000053,1004,sample43,人事,部長,男性,エンジニア,46
F10000025,1005,sample5,開発,部長,女性,営業,32
F10000040,1006,sample53,人事,一般,男性,エンジニア,60
F10000013,1007,sample23,マーケティング,部長,男性,事務,22
F10000007,1008,sample16,営業,課長,男性,事務,58
F10000021,1009,sample12,マーケティング,部長,女性,エンジニア,25
F10000001,1010,sample41,マーケティング,課長,男性,事務,27
F10000047,1011,sample46,人事,部長,女性,企画,46
F10000043,1012,sample34,人事,一般,女性,エンジニア,28
F10000012,1013,sample36,営業,部長,男性,事務,56
F10000008,1014,sample15,営業,一般,男性,エンジニア,52
F10000054,1015,sample10,開発,部長,女性,事務,43
F10000024,1016,sample6,マーケティング,一般,女性,事務,34
F10000051,1017,sample7,人事,課長,男性,事務,51
F10000018,1018,sample54,人事,部長,女性,営業,51
F10000023,1019,sample30,開発,一般,女性,事務,43
F10000037,1020,sample38,人事,課長,女性,エンジニア,60
F10000002,1021,sample51,営業,一般,女性,エンジニア,31
F10000026,1022,sample44,マーケティング,一般,女性,事務,58
F10000044,1023,sample48,営業,課長,女性,企画,21
F10000019,1024,sample21,営業,一般,女性,企画,22
F10000009,1025,sample22,開発,部長,男性,エンジニア,56
F10000014,1026,sample29,人事,部長,男性,企画,36
F10000027,1027,sample47,営業,一般,女性,事務,21
F10000004,1028,sample8,営業,課長,男性,事務,21
F10000041,1029,sample2,人事,課長,男性,営業,47
F10000033,1030,sample35,マーケティング,課長,女性,事務,42
F10000028,1031,sample31,マーケティング,部長,女性,営業,56
F10000020,1032,sample45,人事,部長,男性,企画,51
F10000029,1033,sample9,開発,一般,女性,企画,52
F10000022,1034,sample50,マーケティング,一般,男性,営業,20
F10000031,1035,sample55,人事,課長,男性,企画,38
F10000035,1036,sample11,マーケティング,一般,女性,エンジニア,21
F10000010,1037,sample39,人事,課長,女性,企画,45
F10000036,1038,sample13,マーケティング,部長,男性,企画,51
F10000038,1039,sample32,人事,部長,男性,エンジニア,25
F10000055,1040,sample28,マーケティング,課長,男性,企画,51
F10000006,1041,sample33,開発,部長,女性,事務,23
F10000015,1042,sample37,人事,一般,女性,事務,30
F10000045,1043,sample14,開発,一般,女性,企画,36
F10000032,1044,sample52,営業,一般,男性,事務,57
F10000034,1045,sample24,人事,部長,女性,事務,43
F10000046,1046,sample40,人事,一般,女性,企画,24
F10000016,1047,sample17,人事,部長,男性,営業,53
F10000017,1048,sample18,営業,部長,女性,企画,25
F10000052,1049,sample19,マーケティング,一般,女性,企画,41
F10000056,1050,sample25,開発,一般,女性,営業,30
F10000039,1051,sample49,人事,一般,男性,営業,35
F10000048,1052,sample56,マーケティング,一般,男性,企画,52
F10000049,1053,sample26,人事,部長,女性,エンジニア,28
F10000005,1054,sample1,開発,部長,男性,営業,25
F10000050,1055,sample27,人事,一般,女性,エンジニア,35
F10000003,1056,sample3,開発,部長,男性,事務,48
